"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",3.55810787297326e-258,2.78937847337228,0.902,0.176,1.19331821843777e-253,"0","IL7R"
"CD2",9.86213733573953e-157,2.52693105915484,0.735,0.198,3.30756361966032e-152,"0","CD2"
"RORA",3.50130602142125e-147,2.70218766690146,0.686,0.186,1.17426801346426e-142,"0","RORA"
"ITK",6.76496097864671e-138,2.67845595675639,0.599,0.124,2.26883261301853e-133,"0","ITK"
"CCR6",6.65174308307563e-130,4.54897947814836,0.357,0.025,2.2308615952019e-125,"0","CCR6"
"CD40LG",9.98555805973186e-128,5.03345115089738,0.3,0.008,3.34895646207287e-123,"0","CD40LG"
"CD3E",5.37383396720772e-127,1.88774095459959,0.732,0.216,1.80227643592213e-122,"0","CD3E"
"TRAC",5.90264277864452e-122,1.95295396936172,0.696,0.2,1.9796283351018e-117,"0","TRAC"
"CD3D",5.90150030481159e-120,1.79171995507124,0.737,0.217,1.97924517222771e-115,"0","CD3D"
"SPOCK2",7.70258332591604e-117,2.2672164901411,0.659,0.208,2.58329239584572e-112,"0","SPOCK2"
"CTLA4",7.51866593998838e-111,4.37720402672067,0.306,0.02,2.5216101829533e-106,"0","CTLA4"
"FYB1",6.30677256233001e-99,1.7752465659123,0.685,0.253,2.11516538195424e-94,"0","FYB1"
"CD4",3.98088671494716e-94,2.4474759504258,0.345,0.044,1.33510978645898e-89,"0","CD4"
"ICOS",1.80359572795572e-92,3.43459422634936,0.325,0.04,6.04889935241788e-88,"0","ICOS"
"LTB",3.44472169973044e-91,2.31079417141935,0.618,0.225,1.15529076365559e-86,"0","LTB"
"STK4",9.6324382108803e-91,1.403912376941,0.868,0.485,3.23052712716503e-86,"0","STK4"
"IKZF1",2.13778940523794e-87,1.78673066738582,0.666,0.264,7.16971810728701e-83,"0","IKZF1"
"CHN1",2.8337319384824e-87,3.96366527506189,0.257,0.02,9.50377017528229e-83,"0","CHN1"
"TNFAIP3",2.15465194169302e-85,1.21262108517647,0.88,0.46,7.22627168205006e-81,"0","TNFAIP3"
"TRAT1",2.04574510152815e-84,2.85027464126925,0.371,0.069,6.8610199215051e-80,"0","TRAT1"
"CD6",6.69742023380102e-82,2.67764124833951,0.384,0.077,2.24618079801218e-77,"0","CD6"
"IL32",5.14011467895733e-76,1.3865594418499,0.761,0.351,1.72389166102871e-71,"0","IL32"
"CD3G",1.88683074522919e-75,1.64855245813043,0.536,0.165,6.32805295334967e-71,"0","CD3G"
"TRBC2",2.47775888050459e-72,1.682654520058,0.626,0.265,8.30990773343628e-68,"0","TRBC2"
"PTPRC",1.30662045074577e-71,1.05107553611699,0.919,0.539,4.38214366771116e-67,"0","PTPRC"
"LEPROTL1",1.59973178143664e-70,1.24909415818388,0.729,0.339,5.36518044858219e-66,"0","LEPROTL1"
"CD52",2.17469251505455e-70,1.28922749571676,0.775,0.389,7.29348375698995e-66,"0","CD52"
"PBXIP1",2.89671504417427e-68,1.98600133012671,0.507,0.177,9.71500291515166e-64,"0","PBXIP1"
"SARAF",1.57900239069488e-67,1.14450303311382,0.883,0.592,5.29565821791248e-63,"0","SARAF"
"MGAT4A",1.12403407451462e-65,2.1439937790604,0.42,0.121,3.76978547910714e-61,"0","MGAT4A"
"GPR171",9.37547668150455e-65,2.38761907856439,0.388,0.103,3.144347369443e-60,"0","GPR171"
"AC058791.1",3.07971170054669e-64,1.6866885777066,0.639,0.301,1.03287371012935e-59,"0","AC058791.1"
